date,country,real_gdp,cpi,unemployment_rate,epu,10_yr_yld,3_mo_yld,oecd_rec,ind_out,comp_consumer_conf,pcar_reg,vix
1936-04-01,Canada,,5.767711,,,,,,,,,
1936-04-01,USA,,,,,,,,6.796244,,,
1936-05-01,Canada,,5.767711,,,,,,,,,
1936-05-01,USA,,,,,,,,6.929471,,,
1936-06-01,Canada,,5.767711,,,,,,,,,
1936-06-01,USA,,,,,,,,7.062796,,,
1936-07-01,Canada,,5.846721,,,,,,,,,
1936-07-01,USA,,,,,,,,7.196023,,,
1936-08-01,Canada,,5.846721,,,,,,,,,
1936-08-01,USA,,,,,,,,7.302683,,,
1936-09-01,Canada,,5.846721,,,,,,,,,
1936-09-01,USA,,,,,,,,7.43591,,,
1936-10-01,Canada,,5.925731,,,,,,,,,
1936-10-01,USA,,,,,,,,7.542471,,,
1936-11-01,Canada,,5.925731,,,,,,,,,
1936-11-01,USA,,,,,,,,7.755693,,,
1936-12-01,Canada,,5.925731,,,,,,,,,
1936-12-01,USA,,,,,,,,7.995581,,,
1937-01-01,Canada,,6.004741,,,,,,,,,
1937-01-01,USA,,,,,,,,7.968916,,,
1937-02-01,Canada,,6.004741,,,,,,,,,
1937-02-01,USA,,,,,,,,8.075577,,,
1937-03-01,Canada,,6.004741,,,,,,,,,
1937-03-01,USA,,,,,,,,8.262134,,,
1937-04-01,Canada,,6.004741,,,,,,,,,
1937-04-01,USA,,,,,,,,8.262134,,,
1937-05-01,Canada,,6.004741,,,,,,,,,
1937-05-01,USA,,,,,,,,8.288798,,,
1937-06-01,Canada,,6.004741,,,,,,,,,
1937-06-01,USA,,,,,,,,8.182137,,,
1937-07-01,Canada,,6.004741,,,,,,,,,
1937-07-01,USA,,,,,,,,8.235468,,,
1937-08-01,Canada,,6.08375,,,,,,,,,
1937-08-01,USA,,,,,,,,8.182137,,,
1937-09-01,Canada,,6.08375,,,,,,,,,
1937-09-01,USA,,,,,,,,7.915685,,,
1937-10-01,Canada,,6.16276,,,,,,,,,
1937-10-01,USA,,,,,,,,7.329249,,,
1937-11-01,Canada,,6.16276,,,,,,,,,
1937-11-01,USA,,,,,,,,6.609687,,,
1937-12-01,Canada,,6.16276,,,,,,,,,
1937-12-01,USA,,,,,,,,6.023351,,,
1938-01-01,Canada,,6.08375,,,,,,,,,
1938-01-01,USA,,,,,,,,5.890124,,,
1938-02-01,Canada,,6.08375,,,,,,,,,
1938-02-01,USA,,,,,,,,5.836794,,,
1938-03-01,Canada,,6.16276,,,,,,,,,
1938-03-01,USA,,,,,,,,5.836794,,,
1938-04-01,Canada,,6.16276,,,,,,,,,
1938-04-01,USA,,,,,,,,5.730133,,,
1938-05-01,Canada,,6.08375,,,,,,,,,
1938-05-01,USA,,,,,,,,5.596907,,,
